Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
CG Rackemann,10.0,1,41,4,4.1,Australia,v India,New Delhi,28 Sep 1984,ODI # 267
IK Pathan,10.0,1,41,4,4.1,India,v Australia,Adelaide,17 Feb 2008,ODI # 2680
MJ Clarke,10.0,-,42,4,4.2,Australia,v India,Wankhede,01 Nov 2003,ODI # 2054
B Kumar,10.0,-,45,4,4.5,India,v Australia,Adelaide,15 Jan 2019,ODI # 4078
A Zampa,10.0,-,45,4,4.5,Australia,v India,Chennai,22 Mar 2023,ODI # 4545
AB Agarkar,10.0,-,46,4,4.6,India,v Australia,Kanpur,07 Apr 1998,ODI # 1308
P Kumar,10.0,2,46,4,4.6,India,v Australia,Brisbane,04 Mar 2008,ODI # 2689
MG Johnson,10.0,1,46,4,4.6,Australia,v India,Mohali,19 Oct 2013,ODI # 3421
L Balaji,10.0,-,48,4,4.8,India,v Australia,Brisbane,18 Jan 2004,ODI # 2084
GB Hogg,10.0,-,49,4,4.9,Australia,v India,Nagpur,14 Oct 2007,ODI # 2631
A Zampa,10.0,-,54,4,5.4,Australia,v India,Sydney,27 Nov 2020,ODI # 4265
CJ McDermott,10.0,-,56,4,5.6,Australia,v India,Chennai,09 Oct 1987,ODI # 453
JW Hastings,10.0,-,58,4,5.8,Australia,v India,Melbourne,17 Jan 2016,ODI # 3725
Mohammed Shami,10.0,-,63,4,6.3,India,v Australia,Bengaluru,19 Jan 2020,ODI # 4233
UT Yadav,10.0,-,71,4,7.1,India,v Australia,Bengaluru,28 Sep 2017,ODI # 3917
UT Yadav,9.0,-,72,4,8.0,India,v Australia,Sydney,26 Mar 2015,ODI # 3645
I Sharma,10.0,-,77,4,7.7,India,v Australia,Canberra,20 Jan 2016,ODI # 3726
CG Rackemann,8.0,4,7,3,0.87,Australia,v India,Thiruvananthapuram,01 Oct 1984,ODI # 268
B Kumar,6.1,2,9,3,1.45,India,v Australia,Eden Gardens,21 Sep 2017,ODI # 3912
SP Davis,7.4,3,10,3,1.3,Australia,v India,Sydney,05 Feb 1986,ODI # 362
JN Gillespie,10.0,2,13,3,1.3,Australia,v India,Centurion,15 Feb 2003,ODI # 1951
Mohammed Shami,6.0,2,17,3,2.83,India,v Australia,Wankhede,17 Mar 2023,ODI # 4538
M Azharuddin,3.5,-,19,3,4.95,India,v Australia,Delhi,22 Oct 1987,ODI # 465
CJ McDermott,10.0,3,19,3,1.9,Australia,v India,Hobart,10 Dec 1991,ODI # 694
CJ McDermott,8.0,1,20,3,2.5,Australia,v India,Adelaide,26 Jan 1986,ODI # 357
L Balaji,6.0,-,20,3,3.33,India,v Australia,Amstelveen,23 Aug 2004,ODI # 2159
R Vinay Kumar,7.0,-,21,3,3.0,India,v Australia,Melbourne,05 Feb 2012,ODI # 3231
B Lee,10.0,2,22,3,2.2,Australia,v India,Perth,01 Feb 2004,ODI # 2093
AR Border,5.0,-,23,3,4.6,Australia,v India,Sydney,05 Feb 1986,ODI # 362
SA Abbott,6.0,-,23,3,3.83,Australia,v India,Visakhapatnam,19 Mar 2023,ODI # 4541
GF Lawson,10.0,2,25,3,2.5,Australia,v India,Ahmedabad,05 Oct 1984,ODI # 270
RMH Binny,7.3,-,27,3,3.6,India,v Australia,Melbourne,03 Mar 1985,ODI # 315
